yuzuk,orta,isaret,bas,serce,command
2919,3384,3287,2619,2626,1
2917,3383,3288,2620,2627,1
2906,3380,3277,2624,2630,1
2903,3373,3283,2624,2630,1
2901,3377,3278,2627,2631,1
2901,3378,3279,2616,2628,1
2899,3379,3278,2620,2629,1
2899,3374,3275,2618,2623,1
2851,3380,3271,2627,2602,1
2902,3398,3309,2626,2573,1
2859,3380,3269,2625,2569,1
2849,3366,3258,2623,2599,1
2847,3364,3253,2631,2652,1
2837,3363,3245,2630,2627,1
2808,3361,3227,2639,2622,1
2807,3351,3221,2649,2628,1
2805,3354,3221,2673,2637,1
2797,3336,3212,2708,2643,1
2790,3344,3214,2722,2644,1
2787,3341,3226,2618,2638,1
2785,3340,3217,2577,2625,1
2781,3337,3214,2561,2615,1
2778,3345,3222,2542,2588,1
2775,3328,3217,2550,2577,1
2775,3338,3219,2548,2575,1
2777,3338,3211,2549,2581,1
2777,3332,3206,2552,2586,1
2776,3335,3212,2560,2580,1
2777,3317,3207,2563,2589,1
2778,3336,3211,2562,2588,1
2779,3335,3208,2567,2595,1
2778,3334,3208,2569,2596,1
2779,3332,3206,2567,2599,1
2777,3336,3209,2568,2600,1
2777,3337,3216,2565,2596,1
2775,3339,3211,2572,2598,1
2777,3331,3202,2568,2598,1
2777,3333,3209,2568,2598,1
2785,3334,3209,2572,2601,1
2817,3335,3219,2586,2600,1
2826,3351,3236,2559,2605,1
2847,3345,3229,2577,2597,1
2847,3344,3226,2581,2599,1
2847,3341,3220,2585,2598,1
2841,3343,3221,2590,2600,1
2838,3342,3223,2591,2598,1
2837,3342,3220,2597,2598,1
2838,3338,3230,2586,2605,1
2835,3340,3221,2592,2597,1
2837,3338,3225,2594,2599,1
2835,3339,3221,2594,2596,1
2835,3343,3220,2592,2598,1
2835,3336,3220,2597,2600,1
2835,3345,3245,2599,2601,1
2835,3340,3223,2596,2602,1
2833,3341,3224,2620,2607,1
2833,3341,3220,2610,2605,1
2833,3340,3218,2609,2603,1
2834,3343,3220,2613,2603,1
2833,3343,3219,2617,2601,1
2833,3345,3214,2618,2606,1
2835,3341,3213,2627,2609,1
2835,3341,3218,2621,2605,1
2835,3341,3219,2620,2616,1
2833,3346,3218,2625,2612,1
2833,3339,3220,2621,2611,1
2833,3339,3217,2620,2621,1
2833,3339,3220,2629,2612,1
2834,3339,3212,2620,2613,1
2765,3309,2543,2652,2629,2
2769,3311,2545,2652,2633,2
2773,3319,2545,2656,2631,2
2771,3321,2542,2655,2630,2
2771,3312,2553,2650,2626,2
2769,3313,2555,2655,2624,2
2769,3310,2557,2652,2626,2
2770,3308,2558,2655,2618,2
2771,3304,2572,2671,2619,2
2778,3312,2567,2652,2614,2
2781,3310,2571,2651,2626,2
2786,3308,2571,2652,2615,2
2782,3307,2576,2638,2629,2
2781,3308,2571,2649,2622,2
2799,3299,2582,2654,2622,2
2793,3305,2583,2654,2622,2
2797,3310,2604,2660,2631,2
2796,3311,2595,2651,2624,2
2793,3308,2596,2665,2627,2
2795,3311,2598,2650,2625,2
2795,3310,2594,2652,2633,2
2795,3310,2591,2647,2625,2
2794,3311,2595,2644,2624,2
2795,3312,2594,2650,2625,2
2795,3311,2597,2649,2624,2
2795,3310,2603,2649,2621,2
2793,3306,2607,2653,2620,2
2795,3307,2609,2652,2617,2
2823,3323,2598,2654,2615,2
2817,3320,2600,2648,2617,2
2815,3321,2604,2652,2632,2
2803,3321,2612,2652,2632,2
2801,3335,2616,2658,2635,2
2801,3316,2620,2665,2639,2
2800,3322,2639,2672,2639,2
2802,3320,2636,2675,2640,2
2815,3329,2637,2670,2639,2
2823,3325,2636,2664,2624,2
2847,3337,2636,2676,4094,2
2845,3339,2643,2667,2640,2
2845,3335,2665,2669,2645,2
2842,3337,2659,2668,2644,2
2840,3336,2651,2679,2644,2
2839,3336,2658,2674,2644,2
2839,3333,2661,2669,2643,2
2839,3337,2664,2673,2643,2
2836,3334,2669,2666,2640,2
2849,3360,2666,2667,2641,2
2859,3370,2651,2665,2643,2
2859,3385,2661,2682,4095,2
2851,3372,2665,2713,4094,2
2839,3367,2697,2712,4095,2
2839,3367,2720,2705,4093,2
2839,3367,2745,2706,2669,2
2841,3367,2737,2692,2700,2
2841,3367,2724,2694,2695,2
2841,3372,2736,2698,4095,2
2841,3362,2727,2703,2714,2
2837,3364,2723,2697,2716,2
2836,3360,2715,2703,2727,2
2834,3359,2715,2703,2725,2
2837,3360,2717,2701,2728,2
2835,3356,2719,2704,2728,2
2835,3358,2728,2706,2728,2
2837,3359,2729,2710,2733,2
2835,3373,2751,2702,2732,2
2835,3358,2727,2705,2735,2
2835,3358,2726,2703,2741,2
2835,3363,2725,2698,2746,2
2833,3362,2725,2697,2743,2
2834,3357,2721,2703,4094,2
2834,3363,2732,2705,4095,2
2835,3356,2729,2700,4095,2
2834,3365,2733,2703,4093,2
2835,3359,2724,2706,2752,2
2833,3360,2720,2701,2751,2
2833,3360,2723,2700,2756,2
2834,3359,2725,2698,2774,2
2823,3355,2737,2703,2770,2
2823,3354,2730,2705,2756,2
2820,3352,2735,2703,2692,2
2813,3344,2737,2697,2693,2
2797,3335,2733,2696,2701,2
2787,3327,2733,2694,2700,2
2781,3322,2734,2724,2724,2
2773,3319,2731,2696,2719,2
2773,3325,2737,2700,2721,2
2771,3320,2730,2699,2727,2
2873,3336,2719,2691,2723,2
2848,3324,2733,2695,2729,2
2840,3327,2725,2698,2728,2
2841,3339,2733,2702,2725,2
2841,3328,2734,2722,4095,2
2840,3338,2725,2699,4095,2
2840,3338,2729,2695,4094,2
2838,3333,2729,2698,4094,2
2841,3333,2729,2695,4095,2
2839,3329,2740,2699,2718,2
2839,3337,2732,2697,2721,2
2837,3336,2734,2699,2719,2
2837,3336,2735,2698,2715,2
2837,3330,2734,2697,2715,2
2837,3333,2726,2696,2722,2
2837,3337,2732,2702,2710,2
2837,3335,2756,2802,2718,2
2837,3334,2765,2795,2728,2
2837,3336,2761,2794,2727,2
2829,3338,2773,2787,2725,2
2829,3335,2772,2775,2723,2
2824,3330,2769,2760,2729,2
2824,3329,2767,2745,4095,2
2823,3334,2764,2743,4094,2
2825,3329,2759,2740,4095,2
2825,3332,2757,2739,4095,2
2823,3332,2779,2737,4095,2
2824,3315,2751,2737,2720,2
2824,3318,2761,2741,2722,2
2823,3330,2761,2741,2723,2
2823,3338,2763,2745,4095,2
2823,3329,2760,2743,2724,2
2823,3332,2761,2740,2723,2
2821,3329,2758,2737,2719,2
2821,3327,2757,2743,2718,2
2820,3335,2756,2730,2722,2
2821,3329,2758,2739,2718,2
2825,3335,2766,2745,2734,2
2823,3330,2767,2746,2718,2
2823,3332,2763,2743,2711,2
2821,3329,2764,2742,2716,2
2822,3331,2767,2747,2732,2
2822,3335,2766,2740,4094,2
2823,3336,2772,2747,4095,2
2821,3327,2771,2754,4094,2
