yuzuk,orta,isaret,bas,serce,command
3103,3006,2408,3158,3436,6
3105,3001,2409,3170,3444,6
3141,3012,2419,3172,3494,6
3141,3020,2444,3145,3441,6
3149,3058,2481,3152,3420,6
3143,3071,2487,3136,3383,6
3094,3068,2490,3040,3473,6
3107,3081,2517,3150,3487,6
3141,3047,2477,3192,3556,6
3134,3031,2447,3193,3540,6
3134,3023,2435,3193,3535,6
3127,3025,2442,3197,3534,6
3125,3023,2431,3199,3546,6
3122,3018,2432,3151,3520,6
3122,3020,2431,3188,3528,6
3122,3017,2435,3189,3529,6
3123,3015,2420,3190,3521,6
3121,3019,2430,3188,3525,6
3121,3014,2424,3191,3522,6
3123,3014,2421,3183,3525,6
3123,3006,2423,3187,3511,6
3123,3015,2419,3188,3521,6
3123,3010,2423,3181,3515,6
3123,3012,2418,3183,3517,6
3123,3011,2417,3191,3513,6
3121,3012,2421,3197,3511,6
3123,3015,2420,3197,3513,6
3123,3005,2418,3196,3514,6
3123,3009,2419,3193,3513,6
3122,3009,2415,3201,3516,6
3125,3010,2421,3198,3511,6
3122,3009,2424,3196,3511,6
3122,3016,2425,3198,3515,6
3121,3012,2436,3197,3508,6
3123,3018,2460,3186,3512,6
3125,3022,2480,3163,3486,6
3115,3012,2461,3186,3483,6
3115,3015,2500,3171,3485,6
3111,3014,2495,3133,3474,6
3119,3023,2484,3125,3460,6
3085,3022,2484,3081,3434,6
3054,3012,2470,3055,3438,6
3050,3026,2444,3075,3435,6
3059,3011,2419,3108,3456,6
3062,3014,2411,3121,3442,6
3062,3013,2412,3122,3443,6
3061,3006,2413,3122,3439,6
3063,3011,2412,3128,3443,6
3071,3020,2399,3137,3459,6
3067,3007,2404,3131,3437,6
3069,3006,2407,3132,3438,6
3067,3011,2419,3114,3436,6
3071,3010,2415,3129,3438,6
3075,3014,2427,3112,3428,6
3074,3007,2419,3111,3431,6
3069,3004,2412,3118,3431,6
3071,3006,2415,3110,3447,6
3075,3004,2414,3117,3412,6
3077,3011,2413,3115,3431,6
3075,3011,2412,3122,3428,6
3077,3009,2412,3117,3431,6
3077,3014,2416,3124,3429,6
3078,3007,2429,3124,3427,6
3075,2992,2413,3111,3431,6
3075,3009,2414,3118,3424,6
3073,3014,2407,3114,3421,6
3081,3012,2418,3136,3425,6
3087,3005,2416,3159,3434,6
3085,3010,2399,3124,3425,6
3079,3015,2408,3121,3434,6
3077,3020,2425,3110,3425,6
3079,3021,2432,3107,3423,6
3081,3017,2431,3130,3434,6
3083,3030,2431,3101,3420,6
3081,3016,2426,3109,3420,6
3081,3015,2429,3106,3419,6
3081,3012,2435,3110,3416,6
3088,3010,2431,3110,3421,6
3089,3005,2430,3118,3423,6
3091,3015,2444,3132,3417,6
3091,3012,2455,3135,3414,6
3091,3017,2481,3132,3412,6
3091,3021,2479,3132,3413,6
3091,3018,2485,3142,3405,6
3093,3026,2525,3125,3409,6
3089,3021,2512,3129,3410,6
3091,3023,2531,3130,3411,6
3091,3020,2543,3131,3410,6
3093,3023,2555,3139,3414,6
3095,3020,2544,3142,3412,6
3094,3020,2543,3141,3415,6
3093,3033,2545,3134,3413,6
3091,3027,2480,3129,3411,6
3091,3025,2461,3129,3415,6
3095,3030,2460,3126,3415,6
3095,3013,2455,3130,3415,6
3102,3029,2454,3121,3416,6
3100,3026,2447,3116,3410,6
3098,3025,2450,3124,3413,6
3101,3021,2443,3119,3410,6
3105,3025,2449,3119,3421,6
3102,3023,2442,3117,3408,6
3103,3018,2434,3119,3409,6
3105,3014,2444,3128,3405,6
3104,3025,2453,3126,3407,6
3103,3009,2449,3122,3410,6
3103,3015,2445,3125,3405,6
3101,3026,2458,3120,3409,6
3103,3007,2440,3124,3413,6
3103,3009,2443,3117,3415,6
3102,3006,2442,3119,3411,6
3103,3010,2440,3121,3406,6
3103,3007,2446,3123,3405,6
3104,3008,2444,3132,3405,6
3105,3006,2443,3136,3401,6
3107,3009,2447,3138,3404,6
3111,3009,2439,3137,3409,6
3111,3009,2433,3137,3408,6
3113,3005,2437,3133,3413,6
3111,3009,2437,3134,3406,6
3129,3005,2437,3127,3431,6
3161,3014,2436,3187,3488,6
3165,3008,2438,3207,3509,6
3163,3014,2433,3210,3502,6
3148,3013,2428,3215,3491,6
3143,3016,2435,3213,3483,6
3138,3017,2431,3211,3477,6
3131,3015,2437,3193,3469,6
3134,3023,2427,3198,3469,6
3131,3015,2435,3189,3471,6
3131,3014,2433,3189,3466,6
3131,3012,2429,3190,3472,6
3130,3011,2427,3212,3471,6
3130,3013,2430,3197,3469,6
3133,3010,2431,3198,3467,6
3131,3011,2429,3191,3447,6
3131,3009,2427,3198,3471,6
3131,3011,2428,3189,3476,6
3153,3000,2428,3228,3533,6
3163,3013,2492,3204,3529,6
3123,3021,2613,3164,3459,6
3047,3023,2579,3090,3483,6
3067,3029,2583,3177,3519,6
3083,3029,2564,3188,3525,6
3075,3033,2562,3177,3516,6
3081,3022,2567,3185,3503,6
3097,3031,2638,3178,3520,6
3110,3028,2660,3180,3519,6
3099,3029,2669,3150,3509,6
3094,3025,2671,3146,3501,6
3091,3034,2632,3165,3502,6
3090,3029,2627,3159,3498,6
3090,3035,2592,3165,3499,6
3089,3006,2537,3160,3492,6
3088,3024,2539,3157,3491,6
3088,3026,2546,3167,3491,6
3088,3027,2547,3161,3492,6
3089,3029,2552,3162,3487,6
3083,3022,2545,3163,3487,6
2975,2993,2512,2525,3438,7
2977,2993,2508,2519,3431,7
2978,2997,2522,2525,3443,7
2977,2999,2537,2526,3440,7
2975,3000,2549,2608,3439,7
2975,3003,2587,2610,3438,7
2975,3007,2621,2617,3442,7
2966,3012,2622,2631,3434,7
2966,3016,2650,2653,3437,7
2965,3017,2669,2661,3439,7
2967,3018,2657,2657,3451,7
2965,3015,2631,2653,3445,7
2971,3010,2592,2614,3458,7
2972,3001,2504,2548,3433,7
2975,2994,2498,2514,3451,7
2975,2995,2491,2506,3449,7
2973,2996,2492,2500,3445,7
2975,2995,2480,2501,3445,7
2974,2996,2507,2488,3447,7
2973,2997,2509,2522,3444,7
2971,2997,2502,2492,3442,7
2969,2991,2499,2494,3441,7
2969,2991,2500,2497,3438,7
2973,2996,2520,2511,3442,7
2972,2995,2517,2510,3439,7
2971,2995,2511,2509,3439,7
2971,2997,2518,2505,3438,7
2969,3002,2529,2509,3437,7
2971,2994,2532,2511,3441,7
2971,2996,2553,2554,3435,7
2969,2993,2570,2553,3437,7
2969,3004,2636,2605,3451,7
2969,3003,2621,2607,3454,7
2971,3005,2610,2582,3463,7
2971,3003,2609,2560,3463,7
2973,3001,2606,2557,3469,7
2971,3005,2629,2564,3462,7
2969,3005,2594,2551,3437,7
2969,3000,2576,2547,3461,7
2967,3001,2567,2552,3458,7
2965,3000,2560,2543,3464,7
2963,2996,2527,2511,3446,7
2963,2999,2521,2500,3441,7
2961,3007,2530,2506,3437,7
2961,2988,2517,2506,3441,7
2971,3003,2649,2584,3449,7
2970,3004,2668,2595,3453,7
2958,3020,2713,2655,3447,7
2911,3024,2712,2660,3395,7
2911,3020,2712,2661,3402,7
2911,3024,2718,2668,3362,7
2919,3030,2720,2656,3377,7
2919,3028,2719,2662,3346,7
2925,3016,2729,2665,3349,7
2970,3043,2689,2636,3396,7
2978,3039,2681,2625,3418,7
2971,3030,2643,2602,3430,7
2965,3023,2602,2557,3427,7
2955,3022,2580,2503,3405,7
2951,3012,2562,2496,3401,7
2957,3017,2569,2508,3417,7
2959,3013,2550,2519,3422,7
2961,3019,2549,2516,3425,7
2959,3012,2556,2537,3423,7
2954,3009,2553,2538,3417,7
2952,3013,2567,2539,3414,7
2951,3005,2575,2535,3409,7
2949,3012,2588,2539,3382,7
2951,3010,2598,2545,3411,7
2951,3011,2611,2540,3409,7
2938,3030,2642,2557,3405,7
2948,3017,2664,2555,3430,7
2973,3016,2662,2556,3471,7
2975,3014,2624,2554,3466,7
2972,3009,2551,2547,3441,7
2969,3006,2551,2543,3434,7
2975,3007,2544,2547,3433,7
2971,3011,2535,2551,3429,7
2969,3007,2547,2535,3429,7
2967,3013,2559,2537,3423,7
2963,3008,2563,2532,3419,7
2965,3008,2560,2537,3420,7
2966,3014,2569,2544,3418,7
2964,3009,2599,2549,3413,7
2965,3018,2621,2547,3417,7
2963,3010,2618,2557,3417,7
2961,3015,2615,2573,3420,7
2962,3014,2592,2563,3422,7
2963,3009,2597,2561,3423,7
2961,3011,2599,2567,3420,7
2960,3009,2589,2565,3439,7
2957,3009,2577,2527,3418,7
2956,3009,2584,2534,3417,7
2955,3010,2577,2526,3429,7
2955,3007,2577,2520,3425,7
2955,3006,2580,2521,3422,7
2957,3009,2582,2517,3427,7
2958,3013,2590,2538,3420,7
2957,3008,2581,2530,3420,7
2957,3007,2591,2543,3419,7
2955,3006,2588,2556,3430,7
2955,3013,2594,2549,3422,7
2957,2997,2579,2542,3421,7
2957,3008,2589,2543,3427,7
2957,3005,2591,2536,3430,7
2957,3008,2592,2535,3428,7
2957,3007,2595,2545,3418,7
2957,3007,2592,2546,3423,7
2955,3008,2590,2540,3421,7
2958,3006,2593,2545,3423,7
2957,3007,2594,2548,3423,7
2955,3013,2589,2547,3420,7
2955,3009,2589,2545,3412,7
2957,3007,2594,2550,3423,7
2955,3007,2593,2548,3422,7
2957,3006,2590,2551,3420,7
2955,3009,2589,2549,3426,7
2955,3009,2593,2529,3421,7
2955,3012,2597,2553,3422,7
2955,3007,2596,2557,3421,7
2955,3009,2595,2556,3422,7
2301,2962,2399,2582,3322,8
2297,2977,2404,2577,3170,8
2297,2967,2403,2582,3108,8
2297,2970,2415,2591,3271,8
2299,2971,2408,2585,3303,8
2297,2953,2409,2583,3210,8
2298,2970,2419,2586,3052,8
2297,2967,2426,2589,3130,8
2297,2972,2427,2591,3255,8
2299,2971,2434,2604,3260,8
2300,2969,2440,2610,3313,8
2299,2971,2451,2617,3308,8
2299,2967,2454,2611,3291,8
2295,2967,2458,2614,3200,8
2295,2972,2462,2615,3058,8
2297,2968,2455,2615,3085,8
2299,2969,2447,2624,3265,8
2299,2973,2437,2608,3330,8
2301,2967,2442,2599,3364,8
2297,2972,2437,2619,3267,8
2297,2969,2443,2730,3167,8
2299,2974,2452,2691,3140,8
2299,2970,2446,2669,3241,8
2300,2971,2461,2677,3346,8
2307,2971,2459,2670,3325,8
2479,2974,2448,2697,3322,8
2429,2969,2426,2679,3299,8
2357,2969,2408,2651,3310,8
2337,2965,2380,2586,3278,8
2338,2963,2372,2546,3247,8
2359,2957,2350,2503,3215,8
2353,2956,2346,2497,3202,8
2345,2950,2344,2497,3214,8
2327,2949,2336,2492,3203,8
2291,2948,2341,2496,3155,8
2279,2948,2335,2497,3145,8
2274,2946,2331,2481,3153,8
2275,2951,2345,2480,3135,8
2274,2951,2330,2477,3128,8
2277,2946,2329,2475,3181,8
2281,2947,2328,2477,3172,8
2275,2947,2327,2473,3148,8
2273,2947,2325,2478,3123,8
2273,2946,2325,2475,3112,8
2271,2935,2325,2485,3108,8
2271,2946,2323,2481,3099,8
2270,2950,2324,2476,3073,8
2269,2946,2322,2501,3076,8
2271,2947,2311,2481,3066,8
2289,2943,2321,2491,3076,8
2285,2943,2327,2491,3034,8
2283,2941,2315,2492,3028,8
2285,2937,2323,2497,2992,8
2287,2948,2324,2503,3025,8
2285,2946,2325,2517,3014,8
2285,2946,2324,2520,2987,8
2283,2945,2322,2519,2983,8
2285,2948,2322,2521,2975,8
2285,2951,2348,2514,2991,8
2288,2945,2315,2510,2969,8
2291,2961,2334,2521,2965,8
2287,2933,2336,2522,2957,8
2287,2947,2325,2531,2948,8
2285,2948,2325,2533,3003,8
2287,2955,2333,2541,3097,8
2288,2950,2336,2524,3148,8
2287,2956,2333,2544,3176,8
2282,2952,2334,2544,3210,8
2285,2952,2339,2541,3285,8
2285,2949,2337,2545,3296,8
2285,2958,2342,2543,3239,8
2281,2951,2351,2537,3109,8
2281,2952,2355,2543,3007,8
2279,2955,2362,2546,2941,8
2281,2951,2358,2547,2933,8
2279,2951,2364,2551,3044,8
2281,2955,2365,2550,3146,8
2281,2955,2363,2552,3209,8
2281,2956,2368,2556,3252,8
2284,2954,2367,2552,3270,8
2285,2953,2361,2543,3284,8
2285,2952,2367,2549,3288,8
2287,2956,2365,2553,3300,8
2287,2954,2367,2570,3303,8
2283,2949,2363,2551,3275,8
2281,2953,2367,2545,3273,8
2281,2950,2370,2555,3272,8
2279,2958,2363,2600,3246,8
2273,2943,2355,2568,3247,8
2271,2951,2329,2535,3257,8
2267,2945,2339,2532,3268,8
2267,2954,2341,2525,3273,8
2265,2946,2336,2529,3274,8
2267,2949,2322,2535,3187,8
2281,2954,2344,2531,3138,8
2281,2946,2335,2538,3231,8
2275,2939,2332,2539,3284,8
2275,2943,2337,2533,3319,8
2273,2921,2317,2542,3278,8
2285,2946,2331,2559,3204,8
2285,2948,2333,2543,3210,8
2286,2951,2334,2546,3271,8
2286,2946,2340,2559,3310,8
2289,2947,2332,2577,3302,8
2285,2948,2337,2566,3250,8
2283,2946,2342,2564,3125,8
2283,2949,2340,2537,3083,8
2283,2951,2343,2569,3136,8
2283,2950,2341,2569,3229,8
2285,2943,2341,2570,3278,8
2286,2934,2340,2576,3307,8
2286,2946,2341,2573,3321,8
2285,2949,2343,2576,3295,8
2283,2947,2348,2564,3217,8
2285,2949,2347,2574,3175,8
2285,2948,2336,2589,3169,8
2285,2940,2349,2571,3194,8
2286,2949,2348,2579,3245,8
2287,2947,2353,2600,3274,8
2289,2951,2349,2607,3305,8
2287,2931,2349,2603,3298,8
2283,2932,2349,2612,3287,8
2283,2943,2350,2606,3285,8
2287,2917,2330,2606,3212,8
2295,2943,2350,2612,3189,8
2295,2945,2324,2600,3190,8
2297,2953,2356,2611,3198,8
2297,2951,2358,2611,3242,8
2297,2949,2358,2623,3280,8
2299,2947,2358,2620,3302,8
2299,2947,2363,2630,3310,8
2297,2948,2362,2637,3325,8
2299,2955,2362,2639,3319,8
2297,2948,2361,2645,3310,8
2297,2953,2369,2648,3284,8
2295,2947,2372,2621,3253,8
2296,2946,2366,2637,3248,8
2296,2948,2363,2661,3239,8
2296,2953,2365,2664,3247,8
2297,2949,2364,2665,3255,8
2297,2948,2365,2661,3253,8
